Customer;Customer Plant;Vehicle Name;Sub Family;Customer PN;Spare or Original;Engine Nr;Production Date;Inservice Date;Repair Date;Customer Recording Date;Upload Date;KMS;Repair Country;Climate;Technical Factor;Total Warranty Cost €;Labor cost €;Material cost €;MIS;KM/Year
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2021-03-30;2021-05-31;2023-03-28;2023-04-18;2023-05-23;12000;AR;Temperate;1;163,8113641;;;22;6577
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-07-12;2021-08-06;2023-07-10;2023-07-19;2023-08-22;33030;BR;Tropical;1;163,8113641;;;24;17149
Make A;Site PR;MD CC;Alternators NRG NRG12;9188098093;Original;5EC;2021-09-29;2022-01-03;2023-04-25;2023-05-08;2023-05-23;31524;BR;Tropical;1;163,8113641;;;16;24122
Make A;Site PR;MD CC;Alternators TG TG12;4258098073;Original;5EC;2023-04-04;2023-07-01;2023-07-04;2023-07-11;2023-08-22;375;UY;Temperate;1;163,8113641;;;1;45625
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-04-05;2022-06-09;2023-03-07;2023-03-29;2023-04-24;13232;AR;Temperate;1;163,8113641;;;9;17822
Make A;Site BA;MD PU;Alternators TG TG12;4258098073;Original;5EC;2022-06-22;2022-07-26;2023-09-06;2023-09-15;2023-10-20;32479;AR;Temperate;1;163,8113641;;;14;29127
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2021-02-06;2021-03-15;2023-02-08;2023-03-02;2023-03-28;16120;AR;Temperate;1;163,8113641;;;23;8466
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-07-19;2022-09-30;2023-11-14;2023-11-27;2023-12-13;40029;PY;Temperate;1;163,8113641;;;14;35636
Make A;Site PR;MD CV;Alternators NRG NRG12;9188098093;Original;5EC;2023-01-24;2023-02-13;2023-11-07;2023-11-09;2023-11-23;12179;BR;Tropical;1;163,8113641;;;9;16649
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-03-17;2022-06-30;2023-03-02;2023-03-03;2023-03-28;15272;BR;Tropical;1;163,8113641;;;9;22752
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2023-12-06;2024-01-18;2024-01-29;2024-02-02;2024-02-15;15;AR;Temperate;1;195,13;;;1;498
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-05-09;2022-09-05;2023-09-28;2023-10-13;2023-11-23;17864;PY;Temperate;1;163,8113641;;;13;16805
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-03-21;2022-03-31;2023-11-27;2023-11-28;2023-12-13;37642;BR;Tropical;1;163,8113641;;;20;22672
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-11-17;2023-04-27;2023-09-28;2023-10-02;2023-10-20;9923;BO;Dry;1;163,8113641;;;6;23519
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-10-05;2022-01-11;2023-07-07;2023-07-10;2023-08-22;21112;BR;Tropical;1;163,8113641;;;18;14217
Make A;Site PR;MD CC;Alternators TG TG12;4258098073;Original;5EC;2022-04-26;2022-10-18;2023-04-21;2023-05-10;2023-05-23;2104;AR;Temperate;1;163,8113641;;;7;4151
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-02-17;2022-03-08;2023-06-12;2023-06-16;2023-07-11;7213;AR;Temperate;1;163,8113641;;;16;5711
Make A;Site PR;MD CC;Alternators TG TG12;4258098073;Original;5EC;2023-01-20;2023-03-17;2024-01-02;2024-01-08;2024-01-24;12913;AR;Temperate;1;163,81;;;10;16197
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-07-30;2021-11-17;2023-11-01;2023-11-28;2023-12-13;56396;BR;Tropical;1;163,8113641;;;24;28830
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-06-01;2022-08-25;2023-02-16;2023-02-20;2023-03-28;5404;BR;Tropical;1;163,8113641;;;6;11271
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original; EB;2022-11-02;2023-01-31;2023-02-14;2023-04-06;2023-04-24;156;AR;Temperate;1;163,8113641;;;1;4067
Make A;Site BA;MD BP;Alternators TG TG12;4258098073;Original;5EC;2022-11-30;2023-01-26;2023-06-08;2023-06-30;2023-07-11;14747;AR;Temperate;1;163,8113641;;;5;40471
Make A;Site PR;MD CC;Alternators NRG NRG12;9188098093;Original;5EC;2021-10-07;2022-01-26;2023-03-22;2023-04-20;2023-05-23;10577;BR;Tropical;1;163,8113641;;;14;9192
Make A;Site BA;MD BU;Alternators TG TG12;4258098073;Original;5EC;2022-08-02;2022-09-05;2023-10-26;2023-11-21;2023-12-13;18544;AR;Temperate;1;163,8113641;;;14;16271
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-03-30;2022-05-17;2023-09-12;2023-09-14;2023-10-20;23607;AR;Temperate;1;163,8113641;;;16;17840
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-03-18;2022-05-31;2023-06-27;2023-06-30;2023-07-11;14668;BR;Tropical;1;163,8113641;;;13;13658
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-02-04;2022-04-23;2023-03-27;2023-03-28;2023-04-24;31701;PY;Temperate;1;163,8113641;;;12;34233
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-10-31;2023-03-07;2023-05-22;2023-05-31;2023-06-20;1195;BR;Tropical;1;163,8113641;;;3;5739
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2022-07-23;2022-10-06;2023-11-07;2023-11-15;2023-11-23;27910;PY;Temperate;1;163,8113641;;;14;25660
Make A;Site BA;MD PU;Alternators TG TG12;4258098073;Original;5EC;2022-07-29;2022-08-26;2023-06-27;2023-07-07;2023-08-22;24209;AR;Temperate;1;163,8113641;;;11;28971
Make A;Site PR;MD AT;Alternators TG TG12;4258098073;Original;5EC;2022-04-28;2022-07-29;2023-05-22;2023-06-09;2023-06-20;11924;AR;Temperate;1;163,8113641;;;10;14654
Make A;Site PR;MD CC;Alternators NRG NRG12;9188098093;Original;5EC;2021-08-26;2021-12-27;2023-10-02;2023-10-30;2023-11-23;21143;BR;Tropical;1;163,8113641;;;22;11983
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2021-03-26;2021-09-29;2023-05-02;2023-05-23;2023-06-20;16630;AR;Temperate;1;163,8113641;;;20;10465
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-10-04;2022-12-16;2023-02-27;2023-03-01;2023-03-28;2877;BR;Tropical;1;163,8113641;;;3;14385
Make A;Site BA;MD 2R;Alternators NRG NRG12;9188098093;Original;5EC;2022-02-22;2022-04-29;2023-04-04;2023-04-26;2023-05-23;315;AR;Temperate;1;163,8113641;;;12;338
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-05-27;2023-01-04;2023-09-26;2023-09-28;2023-10-20;11993;BR;Tropical;1;163,8113641;;;9;16519
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-02-28;2022-05-13;2023-09-26;2023-10-02;2023-10-20;33618;BR;Tropical;1;163,8113641;;;17;24492
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-11-30;2022-01-07;2023-10-09;2023-12-04;2024-01-24;41472;BR;Tropical;1;163,81;;;22;23652
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-07-29;2022-10-26;2023-10-20;2023-10-30;2023-11-23;5173;BR;Tropical;1;163,8113641;;;12;5259
Make A;Site PR;MD CC;Alternators NRG NRG12;3708098442;Original;5EC;2022-04-14;2022-07-20;2023-08-18;2023-08-21;2023-09-21;19180;BR;Tropical;1;163,8113641;;;13;17768
Make A;Site PR;MD AT;Alternators NRG NRG12;3708098442;Original;5EC;2021-08-04;2021-10-20;2023-06-23;2023-07-08;2023-08-22;13464;CO;Tropical;1;163,8113641;;;21;8043
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2021-10-01;2021-11-05;2023-08-03;2023-08-14;2023-09-21;27000;BR;Tropical;1;163,8113641;;;21;15495
Make A;Site BA;MD 2R;Alternators NRG NRG12;3708098442;Original;5EC;2022-02-07;2022-02-26;2023-09-01;2023-09-11;2023-10-20;20120;BR;Tropical;1;163,8113641;;;19;13304
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2022-05-30;2022-06-02;2023-05-29;2023-07-06;2023-07-19;41767;BR;Tropical;6;200,1182457;3,19997864;8,8071161;12;42230
Make B;Site SB;MD GV;Alternators TG TG12;301504E9;Original;NN;2023-06-02;2023-06-29;2023-07-31;2023-09-06;2023-09-14;663;BR;Tropical;1;812,55063;0,24035714;7,88514916;2;7562
Make B;Site TB;MD PK;Alternators TG TG9;3023S04C90;Original;QQ;2023-02-25;2023-04-03;2023-04-03;2023-05-03;2023-05-26;8;BR;Tropical;6;130,4924025;1,44034913;6,38919502;0;9,22337E+18
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2022-10-14;2022-11-21;2023-04-10;2023-05-03;2023-05-26;33922;BR;Tropical;6;195,7834465;2,93989069;8,8071161;5;88440
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;KK;2022-12-14;2023-06-06;2023-06-06;2023-07-21;2023-08-16;14;AR;Temperate;6;899,8083455;1,63093175;52,35756898;0;9223372036854775807
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2021-12-27;2022-05-10;2023-04-13;2023-05-03;2023-05-26;9860;BR;Tropical;6;202,0315363;3,31477608;8,8071161;12;10648
Make B;Site TB;MD PK;Alternators TG TG9;3023S04C90;Original;QQ;2023-05-29;2023-06-22;2023-07-19;2023-08-04;2023-08-16;521;BR;Tropical;1;137,577557;0,24035714;1,13541843;1;7043
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-07-19;2022-07-27;2023-03-16;2023-05-03;2023-05-26;10172;BR;Tropical;6;140,0289607;2,10402183;6,29771581;8;16003
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2023-03-30;2023-04-10;2023-11-07;2023-12-08;2024-01-23;10948;BR;Tropical;1;173,631128;0,24035714;1,49595414;7;18938
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;LL;2022-09-23;2023-12-19;2023-12-26;2024-02-07;2024-02-20;10;CO;Tropical;1;265,506534;0,2221812;1,81077678;1;521
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;KK;2022-11-04;2023-03-13;2023-11-03;2023-12-08;2024-01-23;42379;BR;Tropical;1;173,631128;0,24035714;1,49595414;8;65823
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2022-08-07;2022-08-26;2023-04-10;2023-05-03;2023-05-26;17356;BR;Tropical;6;200,1182457;3,19997864;8,8071161;8;27907
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-11-21;2022-12-28;2023-05-08;2023-06-06;2023-06-20;4928;BR;Tropical;6;144,8719777;2,10402183;6,58829683;5;13731
Make B;Site TB;MD GV;Alternators TG TG9;3023S04C90;Original;QQ;2023-05-03;2023-07-04;2023-09-20;2023-10-05;2023-10-17;1509;BR;Tropical;1;138,833154;0,24035714;1,1479744;3;7061
Make B;NA;;Alternators TG TG12;3015G04E90;Spare;;2023-04-20;2023-04-11;2023-04-20;2023-05-03;2023-05-26;0;BR;Tropical;6;146,7852683;0;8,8071161;1;0
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2022-06-21;2022-07-27;2023-06-05;2023-07-06;2023-07-19;34487;BR;Tropical;6;227,980541;3,19997864;10,47885382;11;40216
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-09-30;2022-12-01;2023-11-24;2023-12-08;2024-01-23;114590;BR;Tropical;1;146,007994;0,3408049;1,11927504;12;116831
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;KK;2022-11-10;2022-12-02;2023-04-06;2023-05-03;2023-05-26;9581;BR;Tropical;6;170,7910872;1,44034913;8,8071161;5;27977
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2021-11-30;2022-01-31;2023-10-10;2023-10-27;2023-11-20;27042;MX;Dry;1;227,398484;0,51257855;1,76140629;21;15997
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-06-10;2022-07-01;2023-02-10;2023-04-05;2023-04-20;5930;BR;Tropical;6;139,550638;2,07532247;6,29771581;8;9663
Make B;Site TB;MD GV;Alternators TG TG9;3023S04C90;Original;QQ;2023-09-29;2023-11-08;2023-11-24;2023-12-08;2024-01-23;629;BR;Tropical;1;174,886725;0,60089285;1,1479744;1;14349
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-12-15;2022-12-22;2023-12-21;2024-01-16;2024-02-20;32562;BR;Tropical;1;147,009894;0,3147567;1,15534224;12;32651
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;LL;2022-06-06;2023-01-06;2023-07-29;2023-09-06;2023-09-14;5089;CL;Temperate;1;233,541042;0,24035714;1,7040245;7;9105
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-07-11;2022-09-05;2023-02-28;2023-04-05;2023-04-20;4546;BR;Tropical;6;273,8696218;3,25737736;13,17479995;6;9428
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2022-12-01;2022-12-19;2023-04-13;2023-05-03;2023-05-26;5314;BR;Tropical;6;202,0315363;3,31477608;8,8071161;4;16866
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-08-06;2022-09-22;2023-06-22;2023-10-31;2023-11-17;7298;AR;Temperate;1;945,940415;0,30754713;9,15185702;9;9757
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2022-07-26;2022-09-02;2023-08-03;2023-09-06;2023-09-14;12515;BR;Tropical;1;201,971746;0,52376332;1,49595414;12;13636
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;NN;2022-09-15;2022-10-07;2023-08-30;2023-09-06;2023-09-14;11888;BR;Tropical;1;208,249731;0,58654317;1,49595414;11;13269
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2022-05-12;2022-06-29;2023-04-20;2023-06-06;2023-06-20;7162;BR;Tropical;6;195,7834465;2,93989069;8,8071161;10;8861
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-12-14;2023-02-22;2023-02-27;2023-03-21;2023-04-18;274;AR;Temperate;6;916,5836435;1,863922;53,13109661;1;20002
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-04-20;2022-05-10;2023-02-01;2023-03-07;2023-03-20;2753;BR;Tropical;6;138,812316;2,06434254;6,26439642;9;3763
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2023-10-27;2023-10-31;2024-01-29;2024-02-07;2024-02-20;425;BR;Tropical;1;202,740345;0,48324411;1,54415934;3;1724
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2023-06-23;2023-07-31;2023-12-19;2024-01-16;2024-02-20;5737;BR;Tropical;1;176,634054;0,2221812;1,54415934;5;14851
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;LL;2022-09-01;2022-12-21;2023-05-16;2023-06-06;2023-06-20;3767;PE;Temperate;6;233,0926145;1,44034913;10,62414433;5;9418
Make B;NA;;Alternators TG TG9;3025H5U090;Spare;;2023-08-17;2023-07-11;2023-08-17;2023-09-06;2023-09-14;0;BR;Tropical;1;157,308367;0;1,57308367;2;0
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2022-02-25;2022-05-30;2023-08-12;2023-08-28;2023-09-14;20585;MX;Dry;1;236,718094;0,51257855;1,85460239;15;17115
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-07-02;2022-10-19;2023-08-30;2023-09-21;2023-10-19;20292;UY;Temperate;6;1116,644605;0,84808451;33,07529589;11;23513
Make B;Site TB;MD GV;Alternators TG TG9;3023S04C90;Original;QQ;2023-02-25;2023-05-29;2023-05-29;2023-07-06;2023-07-19;10;BR;Tropical;6;135,3952098;1,44034913;6,68336346;0;9223372036854775807
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2023-05-04;2023-05-22;2023-07-11;2023-09-06;2023-09-14;1645;BR;Tropical;1;173,631128;0,24035714;1,49595414;2;12009
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-09-24;2022-12-13;2023-07-18;2023-08-04;2023-08-16;22756;BR;Tropical;1;206,814763;0,57219349;1,49595414;8;38276
Make B;Site TB;MD GV;Alternators TG TG12;3015G04E90;Original;KK;2023-07-18;2023-07-25;2023-08-10;2023-09-06;2023-09-14;460;BR;Tropical;1;173,631128;0,24035714;1,49595414;1;10494
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2021-12-21;2022-01-28;2023-07-21;2023-07-27;2023-08-16;27019;MX;Dry;6;239,6693038;3,04751247;11,33264576;18;18297
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2022-12-29;2023-01-10;2023-08-31;2023-10-05;2023-10-17;28486;BR;Tropical;1;205,738537;0,56143123;1,49595414;8;44624
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-12-09;2022-12-27;2023-03-06;2023-05-03;2023-05-26;10;BR;Tropical;6;140,0289607;2,10402183;6,29771581;3;53
Make B;Site SB;MD V0;Alternators TG TG9;3023G04C90;Original;UU;2022-08-16;2022-08-31;2023-07-26;2023-09-06;2023-09-14;42823;BR;Tropical;1;174,169241;0,57578091;1,1659115;11;47509
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2023-05-31;2023-07-20;2023-09-22;2023-10-05;2023-10-17;1816;BR;Tropical;1;201,971746;0,52376332;1,49595414;3;10357
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2023-04-25;2023-09-11;2023-11-09;2023-12-08;2024-01-23;2803;BR;Tropical;1;202,509859;0,52914445;1,49595414;2;17341
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2022-07-04;2022-07-28;2023-02-09;2023-03-07;2023-03-20;26911;BR;Tropical;6;272,896449;3,26869104;13,1050959;7;50115
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2022-10-07;2023-02-17;2023-05-17;2023-06-06;2023-06-20;1127;BR;Tropical;6;195,3051238;2,91119133;8,8071161;3;4622
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-11-16;2022-12-06;2023-05-02;2023-06-06;2023-06-20;15544;BR;Tropical;6;144,8719777;2,10402183;6,58829683;5;38596
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2022-07-27;2022-08-25;2023-05-22;2023-06-06;2023-06-20;15101;BR;Tropical;6;202,0315363;3,31477608;8,8071161;9;20414
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;NN;2022-07-25;2023-02-10;2023-08-03;2023-09-06;2023-09-14;6887;BR;Tropical;1;208,249731;0,58654317;1,49595414;6;14447
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-10-11;2023-01-03;2023-06-22;2023-07-21;2023-08-16;12031;AR;Temperate;6;932,4269805;1,863922;54,08169683;6;25831
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2023-03-09;2023-06-17;2023-07-25;2023-08-28;2023-09-14;291;MX;Dry;1;237,650055;0,51257855;1,863922;2;2795
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2023-03-16;2023-04-28;2023-05-24;2023-06-06;2023-06-20;1636;BR;Tropical;6;202,0315363;3,31477608;8,8071161;1;22967
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-11-01;2023-01-25;2023-05-02;2023-06-06;2023-06-20;1700;BR;Tropical;6;205,4096902;3,51746531;8,8071161;4;6397
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-09-12;2022-11-09;2023-09-05;2023-10-05;2023-10-17;23409;BR;Tropical;1;202,509859;0,52914445;1,49595414;10;28481
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;BB;2022-05-11;2022-08-16;2023-03-27;2023-05-03;2023-05-26;11922;BR;Tropical;6;268,5781773;2,93989069;13,17479995;8;19514
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2022-07-27;2022-08-26;2023-08-25;2023-10-05;2023-10-17;14577;BR;Tropical;1;204,841682;0,55246268;1,49595414;12;14617
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2023-02-13;2023-05-19;2023-08-09;2023-09-06;2023-09-14;3659;BR;Tropical;1;204,841682;0,55246268;1,49595414;3;16287
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-10-17;2023-01-06;2023-09-26;2023-10-05;2023-10-17;20683;BR;Tropical;1;147,08422;0,35156716;1,11927504;9;28705
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-12-28;2023-02-28;2023-10-19;2023-11-08;2023-11-20;13929;BR;Tropical;1;146,007994;0,3408049;1,11927504;8;21820
Make B;Site SB;MD V0;Alternators TG TG9;3023G04C90;Original;UU;2022-06-08;2022-06-23;2023-05-29;2023-06-06;2023-06-20;64969;BR;Tropical;6;205,559166;5,47619663;6,85735333;12;69746
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-08-05;2022-08-23;2023-06-07;2023-07-06;2023-07-19;15791;BR;Tropical;6;144,8719777;2,10402183;6,58829683;10;20013
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2022-03-22;2022-09-19;2023-10-17;2023-10-27;2023-11-20;59213;MX;Dry;1;224,602601;0,51257855;1,73344746;13;54994
Make B;Site SB;MD GV;Alternators TG TG12;3015G04E90;Original;NN;2023-05-04;2023-05-19;2023-08-09;2023-09-06;2023-09-14;3882;BR;Tropical;1;173,631128;0,24035714;1,49595414;3;17280
Make B;Site SB;MD GL;Alternators TG TG12;3015G04E90;Original;BB;2022-09-24;2022-10-06;2023-05-25;2023-07-06;2023-07-19;12043;BR;Tropical;6;202,0315363;3,31477608;8,8071161;8;19029
Make B;Site SB;MD GV;Alternators TG TG9;3023S04C90;Original;TT;2021-09-30;2022-07-12;2023-08-22;2023-09-21;2023-10-19;8035;AR;Temperate;6;305,9938617;1,18359047;17,17604123;14;7224
Make B;Site CR;MD TS;Alternators TG TG12;3015G04E90;Original;BB;2023-03-28;2023-06-02;2023-12-11;2024-01-16;2024-02-20;21202;BR;Tropical;1;204,036402;0,49620468;1,54415934;7;40306
Make B;Site SB;MD V0;Alternators TG TG9;3025H5U090;Original;FF;2021-05-03;2021-06-30;2023-05-24;2023-06-27;2023-07-19;72000;MX;Dry;6;234,3881915;3,18730662;10,87598487;23;37922
Make B;Site TB;MD V0;Alternators TG TG9;3023P04C90;Original;AA;2022-09-29;2022-10-21;2023-02-17;2023-03-07;2023-03-20;19686;BR;Tropical;6;138,812316;2,06434254;6,26439642;4;60381
Make B;Site PC;MD AK;Alternators TG TG12;3015G04E90;Original;LL;2022-09-15;2023-04-13;2023-06-02;2023-07-06;2023-07-19;2949;BR;Tropical;6;205,4096902;3,51746531;8,8071161;2;21528
